article title,category,article link,date,subscription
Jakarta promotes urban farming at three-day festival,Jakarta,https://www.thejakartapost.com/indonesia/2024/09/19/jakarta-promotes-urban-farming-at-three-day-festival.html,7 hours ago,False
Calls grow for KPK to continue probing Kaesang over jet trip,Politics,https://www.thejakartapost.com/indonesia/2024/09/19/calls-grow-for-kpk-to-continue-probing-kaesang-over-jet-trip.html,13 hours ago,True
School bullying in spotlight once again at prestigious private school,Society,https://www.thejakartapost.com/indonesia/2024/09/18/school-bullying-in-spotlight-once-again-at-prestigious-private-school.html,23 hours ago,True
Celebrity candidates potentially harmful to the people's interests,Regional Elections,https://www.thejakartapost.com/indonesia/2024/09/18/celebrity-candidates-potentially-harmful-to-the-peoples-interests.html,1 day ago,True
"Genome sequencing for medicine makes progress, but concerns loom",Society,https://www.thejakartapost.com/indonesia/2024/09/18/genome-sequencing-for-medicine-makes-progress-but-concerns-loom.html,1 day ago,True
"KPU to prioritize younger, healthier poll workers for regional elections",Politics,https://www.thejakartapost.com/indonesia/2024/09/18/kpu-to-prioritize-younger-healthier-poll-workers-for-regional-elections.html,1 day ago,True
"Damage, injuries, Whoosh trips canceled after magnitude-5 quake hits West Java",Archipelago,https://www.thejakartapost.com/indonesia/2024/09/18/damage-injuries-whoosh-trips-canceled-after-magnitude-5-quake-hits-west-java.html,1 day ago,True
"House to pass revisions to laws on Wantimpres, cabinet makeup this week",Politics,https://www.thejakartapost.com/indonesia/2024/09/18/house-to-pass-revisions-to-laws-on-wantimpres-cabinet-makeup-this-week.html,1 day ago,True
Gerindra hints politically aligned professionals will sit in Prabowo’s cabinet,Politics,https://www.thejakartapost.com/indonesia/2024/09/17/gerindra-hints-politically-aligned-professionals-will-sit-in-prabowos-cabinet.html,1 day ago,True
Visitors flock to Nusantara as new city opens to public,Archipelago,https://www.thejakartapost.com/indonesia/2024/09/17/visitors-flock-to-nusantara-as-new-city-opens-to-public.html,1 day ago,True
Jokowi pledges to evaluate PON organization,Archipelago,https://www.thejakartapost.com/indonesia/2024/09/17/jokowi-pledges-to-evaluate-pon-organization.html,1 day ago,False
"Puncak infrastructure, traffic policies in spotlight after tourist death",Archipelago,https://www.thejakartapost.com/indonesia/2024/09/17/puncak-infrastructure-traffic-policies-in-spotlight-after-tourist-dies-in-congestion.html,2 days ago,True
Kaesang visits KPK to explain private jet trip,Politics,https://www.thejakartapost.com/indonesia/2024/09/17/kaesang-visits-kpk-to-explain-private-jet-trip.html,2 days ago,False
Nusantara opens to public,Archipelago,https://www.thejakartapost.com/indonesia/2024/09/17/nusantara-opens-to-public.html,2 days ago,True
Papua armed rebel group reveals proposal to release New Zealand pilot,Archipelago,https://www.thejakartapost.com/indonesia/2024/09/17/papua-armed-rebel-group-reveals-proposal-to-release-new-zealand-pilot.html,2 days ago,False
Thai couple among four suspects nabbed for drug smuggling in Bali,Archipelago,https://www.thejakartapost.com/indonesia/2024/09/17/thai-couple-among-four-suspects-nabbed-for-drug-smuggling-in-bali.html,2 days ago,True
‘Fish milk’ may pose danger to children’s health,Society,https://www.thejakartapost.com/indonesia/2024/09/17/experts-express-concern-over-plan-to-use-fish-milk-in-prabowos-free-meals-program.html,2 days ago,True
Prabowo to announce cabinet on inauguration day,Politics,https://www.thejakartapost.com/indonesia/2024/09/17/prabowo-to-announce-cabinet-on-inauguration-day.html,2 days ago,False
Election rivalries at play in Kadin chair’s ouster,Politics,https://www.thejakartapost.com/indonesia/2024/09/17/election-rivalries-at-play-in-kadin-chairs-ouster.html,2 days ago,True
Prabowo’s succession plan looms large as top diplomat readies exit,Politics,https://www.thejakartapost.com/indonesia/2024/09/17/prabowos-succession-plan-looms-large-as-top-diplomat-readies-exit.html,2 days ago,True
Govt to launch new study on authenticity of Borobudur’s ‘chattra’,Archipelago,https://www.thejakartapost.com/indonesia/2024/09/16/govt-to-launch-new-study-on-authenticity-of-borobudurs-chattra.html,3 days ago,True
One tourist dead following severe congestion in Puncak,Archipelago,https://www.thejakartapost.com/indonesia/2024/09/16/one-tourist-dead-following-severe-congestion-in-puncak.html,3 days ago,True
UN chief Guterres appoints Retno as special envoy on water,Politics,https://www.thejakartapost.com/indonesia/2024/09/16/un-chief-guterres-appoints-retno-as-special-envoy-on-water.html,3 days ago,True
Diponegoro medical school admits bullying in residency program,Archipelago,https://www.thejakartapost.com/indonesia/2024/09/16/diponegoro-medical-school-admits-bullying-in-residency-program.html,3 days ago,True
Policy protecting environmental defenders from lawsuits welcomed with caution,Society,https://www.thejakartapost.com/indonesia/2024/09/14/policy-protecting-environmental-defenders-from-lawsuits-welcomed-with-caution.html,5 days ago,True
Gerindra’s Riza may be appointed campaign team head: Ridwan Kamil,Jakarta,https://www.thejakartapost.com/indonesia/2024/09/14/gerindras-riza-may-be-appointed-campaign-team-head-ridwan-kamil.html,5 days ago,True
"Many clueless about keeping prohibited animals, end up in jail",Archipelago,https://www.thejakartapost.com/indonesia/2024/09/14/many-clueless-about-keeping-prohibited-animals-end-up-in-jail.html,5 days ago,True
