movie title,date listed,page link,critic rating,audience rating,genres
Jung Kook: I Am Still,"Opened Sep 18, 2024",https://www.rottentomatoes.com/m/jung_kook_i_am_still,N/A,100%,"['Documentary', 'Music', 'Biography']"
Trapezium,"Opened Sep 18, 2024",https://www.rottentomatoes.com/m/trapezium,N/A,N/A,"['Drama', 'Anime']"
The Babadook,"Re-released Sep 19, 2024",https://www.rottentomatoes.com/m/the_babadook,98%,72%,"['Horror', 'Mystery & Thriller']"
The Matrix,"Re-released Sep 19, 2024",https://www.rottentomatoes.com/m/matrix,83%,85%,"['Sci-Fi', 'Action', 'Mystery & Thriller']"
Transformers One,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/transformers_one,89%,N/A,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy', 'Animation']"
The Substance,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/the_substance,90%,N/A,"['Horror', 'Drama']"
Never Let Go,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/never_let_go_2024,74%,N/A,"['Horror', 'Mystery & Thriller']"
Wolfs,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/wolfs,70%,N/A,"['Action', 'Comedy']"
A Different Man,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/a_different_man,85%,N/A,"['Comedy', 'Drama', 'Mystery & Thriller', 'Sci-Fi']"
Omni Loop,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/omni_loop,94%,N/A,"['Drama', 'Sci-Fi', 'Comedy']"
Last Straw,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/last_straw,78%,N/A,"['Horror', 'Mystery & Thriller']"
A Mistake,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/a_mistake,88%,N/A,['Drama']
The Wait,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/the_wait_2023,87%,N/A,"['Drama', 'Fantasy', 'Horror']"
The Shade,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/the_shade,N/A,N/A,['Horror']
The Unlikely Pilgrimage of Harold Fry,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/the_unlikely_pilgrimage_of_harold_fry,77%,N/A,['Drama']
In the Summers,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/in_the_summers,88%,N/A,['Drama']
All Shall Be Well,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/all_shall_be_well,100%,N/A,['Drama']
Happy Clothes: A Film About Patricia Field,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/happy_clothes_a_film_about_patricia_field,N/A,N/A,"['Documentary', 'Biography', 'LGBTQ+']"
"The Devil, Probably","Re-releasing Sep 20, 2024",https://www.rottentomatoes.com/m/the_devil_probably,85%,77%,['Drama']
Long Gone Heroes,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/long_gone_heroes,N/A,N/A,"['Drama', 'Action', 'Mystery & Thriller']"
Eureka,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/eureka_2023,73%,N/A,['Drama']
Beezel,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/beezel,N/A,N/A,['Drama']
All Happy Families,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/all_happy_families,N/A,N/A,"['Comedy', 'Drama']"
The Featherweight,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/the_featherweight,88%,N/A,"['Biography', 'Drama', 'Sports']"
What We Find on the Road,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/what_we_find_on_the_road,N/A,N/A,['Drama']
And Mrs,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/and_mrs,N/A,N/A,"['Drama', 'Comedy']"
King of Kings: Chasing Edward Jones,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/king_of_kings_chasing_edward_jones,N/A,N/A,"['Documentary', 'History']"
24 Hours to D-Day,"Opens Sep 20, 2024",https://www.rottentomatoes.com/m/24_hours_to_d_day,N/A,N/A,"['Action', 'War']"
